CODE_INSEE_COMMMUNE;NOM_JEU_DE_DONNEES;DATE_HAURE;NOM_CAPTEUR;LOCALISATION_CAPTEUR;NOMBRE_PASSAGES;EVENEMENT
76540;ROUEN_FLUX_PIETONS;2022-05-30T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;6032.0;
76540;ROUEN_FLUX_PIETONS;2022-05-09T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;6774.0;
76540;ROUEN_FLUX_PIETONS;2022-05-10T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;7215.0;
76540;ROUEN_FLUX_PIETONS;2022-05-12T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;8376.0;Braderie printemps
76540;ROUEN_FLUX_PIETONS;2022-05-14T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;11381.0;Braderie printemps
76540;ROUEN_FLUX_PIETONS;2022-05-17T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;6659.0;
76540;ROUEN_FLUX_PIETONS;2022-05-18T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;6819.0;
76540;ROUEN_FLUX_PIETONS;2022-05-21T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;7449.0;
76540;ROUEN_FLUX_PIETONS;2022-05-22T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;2566.0;
76540;ROUEN_FLUX_PIETONS;2022-05-29T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;3266.0;Fêtes Jeanne d'Arc
76540;ROUEN_FLUX_PIETONS;2022-05-04T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;4802.0;
76540;ROUEN_FLUX_PIETONS;2022-05-10T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;4076.0;
76540;ROUEN_FLUX_PIETONS;2022-05-15T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;9291.0;
76540;ROUEN_FLUX_PIETONS;2022-05-19T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;3709.0;
76540;ROUEN_FLUX_PIETONS;2022-05-20T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;4280.0;
76540;ROUEN_FLUX_PIETONS;2022-05-22T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;1790.0;
76540;ROUEN_FLUX_PIETONS;2022-05-26T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;21440.0;Fêtes Jeanne d'Arc
76540;ROUEN_FLUX_PIETONS;2022-05-30T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;6660.0;
